"year","month","release.id","url"
2014,5,396682,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396682"
2014,5,396681,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396681"
2014,5,396680,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396680"
2014,5,395391,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395391"
2014,5,395390,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395390"
2014,5,396679,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396679"
2014,5,396677,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396677"
2014,5,396678,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396678"
2014,5,396675,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396675"
2014,5,396676,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396676"
2014,6,396785,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396785"
2014,6,395400,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395400"
2014,6,396784,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396784"
2014,6,396783,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396783"
2014,6,396782,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396782"
2014,6,396781,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396781"
2014,6,396780,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396780"
2014,6,396779,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396779"
2014,6,395399,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395399"
2014,6,396778,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396778"
2014,7,396839,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396839"
2014,7,395411,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395411"
2014,7,396841,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396841"
2014,7,395410,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395410"
2014,7,395409,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395409"
2014,7,396835,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396835"
2014,7,396834,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396834"
2014,7,395408,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=395408"
2014,7,396836,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396836"
2014,7,397240,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=397240"
2014,8,396881,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396881"
2014,8,396882,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396882"
2014,8,396880,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396880"
2014,8,396878,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396878"
2014,8,396877,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396877"
2014,8,396879,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396879"
2014,8,396876,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396876"
2014,8,396874,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396874"
2014,8,396873,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396873"
2014,8,396875,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396875"
2014,9,396975,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396975"
2014,9,396973,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396973"
2014,9,396974,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396974"
2014,9,396971,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396971"
2014,9,396969,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396969"
2014,9,396972,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396972"
2014,9,396967,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396967"
2014,9,396966,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396966"
2014,9,396965,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396965"
2014,9,396964,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=396964"
2014,11,398645,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398645"
2014,11,398644,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398644"
2014,11,398643,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398643"
2014,11,398641,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398641"
2014,11,398642,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398642"
2014,11,398629,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398629"
2014,11,398633,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398633"
2014,11,398639,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398639"
2014,11,398640,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398640"
2014,11,398630,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398630"
2014,12,398719,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398719"
2014,12,398716,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398716"
2014,12,398712,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398712"
2014,12,398713,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398713"
2014,12,398714,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398714"
2014,12,398711,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398711"
2014,12,398709,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398709"
2014,12,398710,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398710"
2014,12,398703,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398703"
2014,12,398704,"http://kevinbrady.house.gov/news/documentsingle.aspx?DocumentID=398704"
